3.996748e+002,0.000000e+000
4.001569e+002,1.215717e-001
4.006390e+002,1.156764e-001
4.011211e+002,1.106631e-001
4.016032e+002,1.069336e-001
4.020854e+002,1.045601e-001
4.025675e+002,1.032695e-001
4.030496e+002,1.025876e-001
4.035317e+002,1.020045e-001
4.040138e+002,1.012013e-001
4.044959e+002,1.001411e-001
4.049781e+002,9.903336e-002
4.054602e+002,9.817326e-002
4.059423e+002,9.776181e-002
4.064244e+002,9.780273e-002
4.069065e+002,9.811464e-002
4.073886e+002,9.845152e-002
4.078708e+002,9.866342e-002
4.083529e+002,9.879428e-002
4.088350e+002,9.903467e-002
4.093171e+002,9.959009e-002
4.097992e+002,1.005181e-001
4.102813e+002,1.016516e-001
4.107635e+002,1.026299e-001
4.112456e+002,1.030885e-001
4.117277e+002,1.027957e-001
4.122098e+002,1.017837e-001
4.126919e+002,1.002971e-001
4.131740e+002,9.867221e-002
4.136562e+002,9.717199e-002
4.141383e+002,9.588367e-002
4.146204e+002,9.474689e-002
4.151025e+002,9.364808e-002
4.155846e+002,9.254581e-002
4.160667e+002,9.155834e-002
4.165489e+002,9.097686e-002
4.170310e+002,9.119043e-002
4.175131e+002,9.255987e-002
4.179952e+002,9.514758e-002
4.184773e+002,9.848824e-002
4.189594e+002,1.015715e-001
4.194416e+002,1.034440e-001
4.199237e+002,1.038075e-001
4.204058e+002,1.030461e-001
4.208879e+002,1.017805e-001
4.213700e+002,1.004928e-001
4.218521e+002,9.940591e-002
4.223343e+002,9.850985e-002
4.228164e+002,9.768516e-002
4.232985e+002,9.682226e-002
4.237806e+002,9.591374e-002
4.242627e+002,9.507313e-002
4.247448e+002,9.446913e-002
4.252270e+002,9.421432e-002
4.257091e+002,9.430987e-002
4.261912e+002,9.463763e-002
4.266733e+002,9.503958e-002
4.271554e+002,9.539634e-002
4.276375e+002,9.569347e-002
4.281197e+002,9.601045e-002
4.286018e+002,9.646830e-002
4.290839e+002,9.713978e-002
4.295660e+002,9.799469e-002
4.300481e+002,9.889323e-002
4.305302e+002,9.964600e-002
4.310124e+002,1.001126e-001
4.314945e+002,1.002599e-001
4.319766e+002,1.001753e-001
4.324587e+002,9.999722e-002
4.329408e+002,9.984520e-002
4.334229e+002,9.975201e-002
4.339051e+002,9.967411e-002
4.343872e+002,9.953958e-002
4.348693e+002,9.932315e-002
4.353514e+002,9.908760e-002
4.358335e+002,9.897408e-002
4.363156e+002,9.912050e-002
4.367978e+002,9.958500e-002
4.372799e+002,1.003030e-001
4.377620e+002,1.011224e-001
4.382441e+002,1.018853e-001
4.387262e+002,1.025202e-001
4.392083e+002,1.030865e-001
4.396905e+002,1.037565e-001
4.401726e+002,1.047421e-001
4.406547e+002,1.061825e-001
4.411368e+002,1.080784e-001
4.416189e+002,1.102498e-001
4.421010e+002,1.124104e-001
4.425832e+002,1.142525e-001
4.430653e+002,1.155859e-001
4.435474e+002,1.163868e-001
4.440295e+002,1.167572e-001
4.445116e+002,1.168364e-001
4.449937e+002,1.167266e-001
4.454759e+002,1.164883e-001
4.459580e+002,1.161651e-001
4.464401e+002,1.158275e-001
4.469222e+002,1.155950e-001
4.474043e+002,1.155968e-001
4.478864e+002,1.159060e-001
4.483686e+002,1.164923e-001
4.488507e+002,1.172139e-001
4.493328e+002,1.178784e-001
4.498149e+002,1.183217e-001
4.502970e+002,1.184993e-001
4.507791e+002,1.185041e-001
4.512613e+002,1.185319e-001
4.517434e+002,1.187660e-001
4.522255e+002,1.192811e-001
4.527076e+002,1.199824e-001
4.531897e+002,1.206539e-001
4.536718e+002,1.210656e-001
4.541540e+002,1.211130e-001
4.546361e+002,1.208752e-001
4.551182e+002,1.205946e-001
4.556003e+002,1.205851e-001
4.560824e+002,1.210915e-001
4.565645e+002,1.221964e-001
4.570467e+002,1.237350e-001
4.575288e+002,1.253559e-001
4.580109e+002,1.266578e-001
4.584930e+002,1.274124e-001
4.589751e+002,1.276508e-001
4.594572e+002,1.275858e-001
4.599394e+002,1.274677e-001
4.604215e+002,1.274605e-001
4.609036e+002,1.276316e-001
4.613857e+002,1.279613e-001
4.618678e+002,1.283991e-001
4.623499e+002,1.289018e-001
4.628321e+002,1.294515e-001
4.633142e+002,1.300336e-001
4.637963e+002,1.306065e-001
4.642784e+002,1.310914e-001
4.647606e+002,1.313933e-001
4.652427e+002,1.314395e-001
4.657248e+002,1.312310e-001
4.662069e+002,1.308432e-001
4.666890e+002,1.304020e-001
4.671711e+002,1.300054e-001
4.676533e+002,1.296706e-001
4.681354e+002,1.293173e-001
4.686175e+002,1.288267e-001
4.690996e+002,1.281215e-001
4.695817e+002,1.272491e-001
4.700638e+002,1.263878e-001
4.705460e+002,1.258137e-001
4.710281e+002,1.257901e-001
4.715102e+002,1.264415e-001
4.719923e+002,1.276742e-001
4.724744e+002,1.291700e-001
4.729565e+002,1.305381e-001
4.734387e+002,1.314571e-001
4.739208e+002,1.318302e-001
4.744029e+002,1.317710e-001
4.748850e+002,1.315034e-001
4.753671e+002,1.312293e-001
4.758492e+002,1.310470e-001
4.763314e+002,1.309498e-001
4.768135e+002,1.308628e-001
4.772956e+002,1.307189e-001
4.777777e+002,1.305043e-001
4.782598e+002,1.302697e-001
4.787419e+002,1.300869e-001
4.792241e+002,1.299944e-001
4.797062e+002,1.299587e-001
4.801883e+002,1.298849e-001
4.806704e+002,1.296585e-001
4.811525e+002,1.292148e-001
4.816346e+002,1.285729e-001
4.821168e+002,1.278335e-001
4.825989e+002,1.271227e-001
4.830810e+002,1.265396e-001
4.835631e+002,1.261096e-001
